Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.584,0.5191919191919192,0.5908045977011495,0.5526881720430108,0.619334757400061,W2_5s_late,Raw,Feature Family (Isolate),Only Entropy,57
Logistic Regression,0.543,0.4785992217898833,0.5655172413793104,0.5184404636459431,0.5911707862882718,W2_5s_late,Raw,Feature Family (Isolate),Only Entropy,57
SVM,0.619,0.5597345132743363,0.5816091954022988,0.5704622322435174,0.6611819753839894,W2_5s_late,Raw,Scalp Region (Omit),Omit Anterior (Frontal),420
Logistic Regression,0.586,0.5240274599542334,0.5264367816091954,0.5252293577981652,0.623183806326925,W2_5s_late,Raw,Scalp Region (Omit),Omit Anterior (Frontal),420
SVM,0.571,0.5062761506276151,0.5563218390804597,0.5301204819277109,0.632155426711423,W2_5s_late,Raw,Scalp Region (Omit),Omit Central & Temporal,420
Logistic Regression,0.581,0.5166666666666667,0.5701149425287356,0.5420765027322404,0.6022256128572882,W2_5s_late,Raw,Scalp Region (Omit),Omit Central & Temporal,420
SVM,0.627,0.5682819383259912,0.593103448275862,0.5804274465691789,0.6730302105584376,W2_5s_late,Raw,Scalp Region (Omit),Omit Posterior,490
Logistic Regression,0.572,0.5072164948453608,0.5655172413793104,0.5347826086956522,0.6175811209439528,W2_5s_late,Raw,Scalp Region (Omit),Omit Posterior,490
SVM,0.592,0.5278350515463918,0.5885057471264368,0.5565217391304348,0.6366880276675821,W2_5s_late,Raw,Scalp Region (Isolate),Only Anterior (Frontal),245
Logistic Regression,0.586,0.5214723926380368,0.5862068965517241,0.551948051948052,0.63316041094497,W2_5s_late,Raw,Scalp Region (Isolate),Only Anterior (Frontal),245
SVM,0.644,0.5887640449438202,0.6022988505747127,0.5954545454545455,0.6693968060217679,W2_5s_late,Raw,Scalp Region (Isolate),Only Central & Temporal,245
Logistic Regression,0.623,0.5635964912280702,0.5908045977011495,0.5768799102132436,0.6494964906927068,W2_5s_late,Raw,Scalp Region (Isolate),Only Central & Temporal,245
SVM,0.604,0.5438202247191011,0.5563218390804597,0.55,0.6272912216458142,W2_5s_late,Raw,Scalp Region (Isolate),Only Posterior,175
Logistic Regression,0.565,0.5,0.5678160919540229,0.5317545748116254,0.5986979961346761,W2_5s_late,Raw,Scalp Region (Isolate),Only Posterior,175
SVM,0.614,0.5511482254697286,0.6068965517241379,0.5776805251641138,0.6590133251958091,W2_5s_late,Raw,Frequency Band (Omit),Omit Delta,627
Logistic Regression,0.566,0.5010893246187363,0.5287356321839081,0.5145413870246085,0.6064123690367205,W2_5s_late,Raw,Frequency Band (Omit),Omit Delta,627
SVM,0.624,0.5623678646934461,0.6114942528735632,0.5859030837004405,0.6581629539212694,W2_5s_late,Raw,Frequency Band (Omit),Omit Theta,551
Logistic Regression,0.602,0.5417607223476298,0.5517241379310345,0.5466970387243736,0.6397436679890143,W2_5s_late,Raw,Frequency Band (Omit),Omit Theta,551
SVM,0.624,0.5645514223194749,0.593103448275862,0.57847533632287,0.6530688637981893,W2_5s_late,Raw,Frequency Band (Omit),Omit Alpha,532
Logistic Regression,0.599,0.5367965367965368,0.5701149425287356,0.5529542920847269,0.6178781405757299,W2_5s_late,Raw,Frequency Band (Omit),Omit Alpha,532
SVM,0.62,0.55863539445629,0.6022988505747127,0.5796460176991151,0.6569219814871325,W2_5s_late,Raw,Frequency Band (Omit),Omit Beta,627
Logistic Regression,0.589,0.5267857142857143,0.542528735632184,0.5345413363533409,0.6082188993998576,W2_5s_late,Raw,Frequency Band (Omit),Omit Beta,627
SVM,0.618,0.5565031982942431,0.6,0.577433628318584,0.6558722408707152,W2_5s_late,Raw,Frequency Band (Omit),Omit Gamma,627
Logistic Regression,0.565,0.5,0.5448275862068965,0.5214521452145214,0.5831227748957379,W2_5s_late,Raw,Frequency Band (Omit),Omit Gamma,627
SVM,0.552,0.48491879350348027,0.4804597701149425,0.48267898383371827,0.5772108635947513,W2_5s_late,Raw,Frequency Band (Isolate),Only Delta,38
Logistic Regression,0.539,0.47410358565737054,0.5471264367816092,0.5080042689434365,0.5761163665954634,W2_5s_late,Raw,Frequency Band (Isolate),Only Delta,38
SVM,0.559,0.49271844660194175,0.4666666666666667,0.4793388429752066,0.5723690367205778,W2_5s_late,Raw,Frequency Band (Isolate),Only Theta,114
Logistic Regression,0.531,0.46487603305785125,0.5172413793103449,0.4896626768226333,0.5483999593123792,W2_5s_late,Raw,Frequency Band (Isolate),Only Theta,114
SVM,0.549,0.4847908745247148,0.5862068965517241,0.5306971904266389,0.5826833485911911,W2_5s_late,Raw,Frequency Band (Isolate),Only Alpha,133
Logistic Regression,0.547,0.48282442748091603,0.5816091954022988,0.5276329509906152,0.5679503611026345,W2_5s_late,Raw,Frequency Band (Isolate),Only Alpha,133
SVM,0.59,0.5262054507337526,0.5770114942528736,0.5504385964912281,0.603462516529346,W2_5s_late,Raw,Frequency Band (Isolate),Only Beta,38
Logistic Regression,0.543,0.4809027777777778,0.6367816091954023,0.5479723046488625,0.5641135184620079,W2_5s_late,Raw,Frequency Band (Isolate),Only Beta,38
SVM,0.567,0.501937984496124,0.5954022988505747,0.544689800210305,0.5904485810192248,W2_5s_late,Raw,Frequency Band (Isolate),Only Gamma,38
Logistic Regression,0.558,0.4933078393881453,0.593103448275862,0.5386221294363257,0.6160838164988303,W2_5s_late,Raw,Frequency Band (Isolate),Only Gamma,38
SVM,0.61,0.5501113585746102,0.5678160919540229,0.5588235294117647,0.6423252975282271,W2_5s_late,ICA_Cleaned,Baseline,Full Feature Set,665
Logistic Regression,0.544,0.4780793319415449,0.5264367816091954,0.5010940919037199,0.5671203336384906,W2_5s_late,ICA_Cleaned,Baseline,Full Feature Set,665
SVM,0.601,0.5394736842105263,0.5655172413793104,0.5521885521885522,0.6426894517343098,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,361
Logistic Regression,0.575,0.5108225108225108,0.542528735632184,0.5261984392419174,0.5740046790763911,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Time-Domain,361
SVM,0.624,0.5717761557177615,0.5402298850574713,0.5555555555555556,0.6456006510019326,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,608
Logistic Regression,0.56,0.49445676274944567,0.5126436781609195,0.5033860045146726,0.5757908656291324,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Hjorth,608
SVM,0.608,0.5474613686534217,0.5701149425287356,0.5585585585585585,0.6280459770114943,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Spectral,418
Logistic Regression,0.553,0.4864864864864865,0.496551724137931,0.49146757679180886,0.5547757094903876,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Spectral,418
SVM,0.611,0.5520361990950227,0.5609195402298851,0.556442417331813,0.6402237819143526,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Entropy,608
Logistic Regression,0.548,0.48336594911937375,0.5678160919540229,0.5221987315010571,0.5622459566676838,W2_5s_late,ICA_Cleaned,Feature Family (Omit),Omit Entropy,608
SVM,0.587,0.5230125523012552,0.5747126436781609,0.547645125958379,0.6140351947919845,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,304
Logistic Regression,0.543,0.4774590163934426,0.535632183908046,0.504875406283857,0.573060726274031,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Time-Domain,304
SVM,0.599,0.5414634146341464,0.5103448275862069,0.5254437869822485,0.598014444105381,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,57
Logistic Regression,0.55,0.48526522593320237,0.5678160919540229,0.5233050847457628,0.5633201098565762,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Hjorth,57
SVM,0.604,0.5436241610738255,0.5586206896551724,0.5510204081632653,0.6337788627809989,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Spectral,247
Logistic Regression,0.558,0.4932821497120921,0.5908045977011495,0.5376569037656904,0.5792533821584783,W2_5s_late,ICA_Cleaned,Feature Family (Isolate),Only Spectral,247
