Subject,Epoch,State,Mean_log10_power,N_Windows,Slope_log10_power_per_second
sub-01,sub-01_10_0,Focus,-12.025253535383179,8,0.021382765157014837
sub-01,sub-01_10_1,Focus,-11.988995783430461,8,0.0805300964016761
sub-01,sub-01_10_10,MW,-11.873617207285386,8,-0.01815792018998733
sub-01,sub-01_10_11,Focus,-11.936212616208152,8,-0.09959833613910565
sub-01,sub-01_10_12,MW,-11.754293794004045,8,-0.04949576362731002
sub-01,sub-01_10_13,Focus,-11.942791544391987,8,0.034012325974360276
sub-01,sub-01_10_14,MW,-11.80760867583966,8,-0.0032991625588321234
sub-01,sub-01_10_15,Focus,-11.989288662898776,8,-0.10946376091018573
sub-01,sub-01_10_16,MW,-11.907506283876998,8,0.09745961735651158
sub-01,sub-01_10_17,Focus,-12.044982093822071,8,0.07460358653584417
sub-01,sub-01_10_18,MW,-12.032047032127672,8,-0.047280025466702104
sub-01,sub-01_10_19,Focus,-11.558747243836097,8,0.18288788633848532
sub-01,sub-01_10_2,Focus,-11.959217898529085,8,0.051218103563879055
sub-01,sub-01_10_20,Focus,-12.085605677912353,8,-0.04791287102560279
sub-01,sub-01_10_21,MW,-11.961569375335138,8,-0.011042861943341942
sub-01,sub-01_10_22,Focus,-12.001868553544307,8,-0.004570924707000665
sub-01,sub-01_10_23,MW,-11.98181297096461,8,0.0005782383614701522
sub-01,sub-01_10_24,Focus,-12.087984408639873,8,0.03809292259379019
sub-01,sub-01_10_25,MW,-11.90788407311807,8,-0.19365930762894631
sub-01,sub-01_10_26,Focus,-12.014861922838858,8,0.005281143333370163
sub-01,sub-01_10_27,MW,-11.974498321226754,8,-0.1438521584602377
sub-01,sub-01_10_28,Focus,-11.844159010807699,8,-0.05583613384386944
sub-01,sub-01_10_29,MW,-11.846611165546777,8,0.023321794523841203
sub-01,sub-01_10_3,Focus,-12.035845694038496,8,0.02758098542238408
sub-01,sub-01_10_30,Focus,-12.153759288970068,8,-0.06925134905023902
sub-01,sub-01_10_31,MW,-12.068069422071568,8,0.008256268885504448
sub-01,sub-01_10_32,Focus,-11.968431911619113,8,-0.07758183798218869
sub-01,sub-01_10_33,MW,-11.918538930441638,8,0.033919021338037474
sub-01,sub-01_10_34,Focus,-11.904714523722735,8,0.04472418173761542
sub-01,sub-01_10_35,MW,-11.984386745204542,8,-0.06196650719887134
sub-01,sub-01_10_36,Focus,-11.953075596956943,8,-0.002535446287054861
sub-01,sub-01_10_37,MW,-11.993939740028019,8,-0.05237306306338075
sub-01,sub-01_10_38,Focus,-12.030604860958258,8,0.022084568209459594
