Band,Analysis,Estimate,SE,z,CI_95_low,CI_95_high,p_value,Statistical_decision_alpha_0.05
Delta,MW minus Focus mean power,0.083014786575596,0.055240695579682524,1.5027831511616367,-0.02525697676058175,0.19128654991177374,0.13289497213135298,Not statistically significant
Delta,Focus change over time,-0.00933703434254092,0.006089247431547928,-1.5333642535474015,-0.02127195930837486,0.00259789062329302,0.1251861311944396,Not statistically significant
Delta,MW change over time,0.018215392091834655,0.005001241415226841,3.6421741282826,0.008412958917990047,0.028017825265679263,0.00027034509677853274,Statistically significant
Theta,MW minus Focus mean power,0.033343611011318754,0.005852815778381114,5.697020421261504,0.02187209208569177,0.04481512993694574,1.2191932916500097e-08,Statistically significant
Theta,Focus change over time,-0.003803791508212727,0.0076279903523348664,-0.49866233863922194,-0.018754652598789064,0.011147069582363611,0.6180172805912587,Not statistically significant
Theta,MW change over time,-0.0019086396062287308,0.0032348795296568223,-0.5900187591935494,-0.008249003484356103,0.004431724271898641,0.5551780729179501,Not statistically significant
Alpha,MW minus Focus mean power,0.11269630767228536,0.05356260509051688,2.1040109509579836,0.007713601694872285,0.21767901364969844,0.03537749176139895,Statistically significant
Alpha,Focus change over time,-0.01018364682114938,0.009027358337594932,-1.1280871369356218,-0.02787726916283545,0.007509975520536687,0.2592831209618831,Not statistically significant
Alpha,MW change over time,0.003459538747499937,0.007502731156189005,0.4611039200899745,-0.011245814318630512,0.018164891813630388,0.6447240494074207,Not statistically significant
Beta,MW minus Focus mean power,-0.00993434728562434,0.015514868810973062,-0.640311394615091,-0.04034349015513154,0.020474795583882863,0.5219701742833625,Not statistically significant
Beta,Focus change over time,-0.024258912674005186,0.0008372779004864604,-28.973549474924276,-0.02589997735895865,-0.022617847989051722,1.4176635623376135e-184,Statistically significant
Beta,MW change over time,0.008829878376207058,0.004486788679402202,1.9679728659259048,3.5772564578741284e-05,0.017623984187835375,0.04907115983463048,Statistically significant
Gamma,MW minus Focus mean power,-0.03417565700695008,0.02197348334784763,-1.555313578003903,-0.07724368436873144,0.008892370354831279,0.11987140514562876,Not statistically significant
Gamma,Focus change over time,-0.010441491020743595,0.005951574116290117,-1.7544082988337621,-0.022106576288672224,0.0012235942471850343,0.07936057035100828,Not statistically significant
Gamma,MW change over time,-0.0008387111738432339,0.0037023056089005575,-0.22653753159299533,-0.008095230167288327,0.006417807819601859,0.8207833718529725,Not statistically significant
