Subject,Epoch,State,Epoch_Index,Window_Index,Time_s,Log10_Delta_Power,Log10_Theta_Power,Log10_Alpha_Power,Log10_Beta_Power,Log10_Gamma_Power
10,10_10,Focus,10,3,2.0,-11.099537498035586,-11.777264415471981,-12.226385613890477,-12.91441320214418,-13.168370885434975
10,10_10,Focus,10,4,2.5,-11.099567200622708,-11.9366828744013,-12.40486932027776,-12.818311218907603,-13.19974698728173
10,10_10,Focus,10,5,3.0,-11.104803979163439,-11.915526894838274,-12.28640446145317,-12.857645751523071,-13.202299203760536
10,10_10,Focus,10,6,3.5,-11.271159605286016,-12.020458614303493,-12.359326535080262,-12.858664457112518,-13.279907136474797
10,10_10,Focus,10,7,4.0,-11.254391992381327,-12.012730422200026,-12.503377865630492,-12.780572928935403,-13.175988840090517
10,10_10,Focus,10,8,4.5,-11.168383285238917,-11.763462897577568,-11.783940354803343,-12.470017200939118,-13.288466846625154
10,10_11,Focus,11,0,0.5,-11.206617476188752,-12.11968891058678,-12.292148724116577,-12.725947204987374,-13.284731808842976
10,10_11,Focus,11,1,1.0,-11.345752064240079,-11.91774813625842,-12.406458408175277,-12.803967056796228,-13.390983637388851
10,10_11,Focus,11,2,1.5,-11.21792403082159,-11.871681377225471,-12.2857258326083,-12.693020984645521,-13.344976220125506
10,10_11,Focus,11,3,2.0,-11.494035112083257,-11.992573720582966,-11.902379466944305,-12.759695533591925,-13.321775904205632
10,10_11,Focus,11,4,2.5,-11.238214149983756,-11.624672926291929,-12.194958885668516,-12.851278236656599,-13.424103541518287
10,10_11,Focus,11,5,3.0,-11.42328967106269,-11.790619013066527,-12.124235435662921,-12.834954286709518,-13.401020323186994
10,10_11,Focus,11,6,3.5,-11.353899140400287,-12.02584037976979,-12.203460553430979,-12.734343333949905,-13.314579883314176
10,10_11,Focus,11,7,4.0,-11.220933444371214,-11.973161998264263,-12.316456079478069,-12.708555825892216,-13.35387845117268
10,10_11,Focus,11,8,4.5,-11.248906279071738,-11.955077918464019,-12.27354874904936,-12.620256113346816,-13.33292328244813
10,10_12,Focus,12,0,0.5,-11.076909941761622,-11.959370208325591,-12.12496585567993,-12.620741655147846,-13.164817717374941
10,10_12,Focus,12,1,1.0,-11.204311363959995,-12.000737240834102,-12.084553356690918,-12.601931094710343,-13.332454440286476
10,10_12,Focus,12,2,1.5,-11.19459959568709,-11.836026137938964,-12.156141356288028,-12.529023177035276,-12.861950028386715
10,10_12,Focus,12,3,2.0,-11.423547916992069,-11.94730443936364,-12.048624994424662,-12.701271863351957,-13.077993220131331
10,10_12,Focus,12,4,2.5,-11.322301958277784,-11.79744618294781,-12.252983036575316,-12.625275341012085,-13.28467194745897
10,10_12,Focus,12,5,3.0,-11.269952338346581,-11.979346523159627,-12.385637751606286,-12.738151884555164,-13.339794359573332
10,10_12,Focus,12,6,3.5,-11.220462759217146,-11.813320259552704,-11.994843441068959,-12.506283951721674,-13.224647958736462
10,10_12,Focus,12,7,4.0,-11.196370613837214,-11.839220820304112,-11.889483153867337,-12.7230085717788,-13.254021888104386
10,10_12,Focus,12,8,4.5,-10.926078405115351,-11.910853102026781,-12.301434810349988,-12.766810989613976,-13.266793553859857
10,10_13,Focus,13,0,0.5,-11.023217969339175,-11.090538819735714,-11.086302864666054,-12.207794247590943,-13.28662550780397
10,10_13,Focus,13,1,1.0,-11.05611650694977,-11.603515275133168,-11.954789261849134,-12.54958191148821,-13.26185915256428
10,10_13,Focus,13,2,1.5,-10.982902324086588,-11.688178544426961,-12.177782654570686,-12.601067883055308,-13.244552301256226
10,10_13,Focus,13,3,2.0,-11.009765451422938,-11.856436751028689,-12.206351833476393,-12.585172737499006,-13.28143920527198
10,10_13,Focus,13,4,2.5,-11.14607796527495,-11.771699566076219,-12.087359669716298,-12.640314088108438,-13.196165327861765
10,10_13,Focus,13,5,3.0,-11.072555791439886,-11.978469138236138,-12.020913756466243,-12.68642167375537,-13.160430229926375
10,10_13,Focus,13,6,3.5,-11.137715320616058,-12.029799001796295,-12.079034250100147,-12.682991695357934,-13.21880370247772
10,10_13,Focus,13,7,4.0,-11.048440590558988,-11.617071872016526,-12.078172914049585,-12.758644869645227,-13.172774664890872
10,10_13,Focus,13,8,4.5,-11.04500831628471,-12.141366141778121,-12.381780879209458,-12.571080077123463,-13.19191831587562
10,10_14,MW,14,0,0.5,-11.114609415763333,-12.072058644386392,-12.129023120624515,-12.59361592178718,-13.235473708635075
10,10_14,MW,14,1,1.0,-11.225807397750216,-12.049030997541841,-11.561716930628869,-12.735768686739553,-13.236419433202062
10,10_14,MW,14,2,1.5,-11.325757435352756,-11.97163200925185,-11.799435218554715,-12.441044834775994,-12.709580429781242
10,10_14,MW,14,3,2.0,-11.375656339490824,-12.000100004876906,-12.261058579994609,-12.715515767420316,-13.188895612768082
10,10_14,MW,14,4,2.5,-11.475114584076316,-11.862511122052613,-12.100291869857857,-12.560080725918638,-13.156144198473351
